EMP_NUM,EMP_LNAME,EMP_FNAME,EMP_INITIAL,EMP_HIREDATE,JOB_CODE
101,News,John,G,08-Nov-00,502
102,Senior,David,H,12-Jul-89,501
103,Arbough,June,E,01-Dec-97,503
104,Ramoras,Anne,K,15-Nov-88,501
105,Johnson,Alice,K,01-Feb-94,502
106,Smithfield,William,,22-Jun-05,500
107,Alonzo,Maria,D,10-Oct-94,500
108,Washington,Ralph,B,22-Aug-89,501
109,Smith,Larry,W,18-Jul-99,501
110,Olenko,Gerald,A,11-Dec-96,505
111,Wabash,Geoff,B,04-Apr-89,506
112,Smithson,Darlene,M,23-Oct-95,507
113,Joenbrood,Delbert,K,15-Nov-94,508
114,Jones,Annelise,,20-Aug-91,508
115,Bawangi,Travis,B,25-Jan-90,501
116,Pratt,Gerald,L,05-Mar-95,510
117,Williamson,Angie,H,19-Jun-94,509
118,Frommer,James,J,04-Jan-06,510
