11131,FOO KAI WEN,22-SEP-99,MALAYSIA,FKAIWEN@ABC.COM,566-211-4578,2019
11132,ATIKAH SUHAIMI,10-JAN-00,MALAYSIA,ATIKAHS@ABC.COM,566-765-4455,2020
11133,STANLEY TONG,03-FEB-99,HONG KONG,STANLEYTONG@ABC.COM,322-855-6633,2019
11134,CARINA LAU,15-MAR-00,HONG KONG,CARINALAU@ABC.COM,322-555-8744,2020
11135,ADI BUDIHARTO,18-APR-99,INDONESIA,ADIBUDI@ABC.COM,562-554-2255,2019
11136,ELLY SUPARMAN,26-MAY-99,INDONESIA,ELLYSUPA@ABC.COM,562-111-8787,2019
11137,ZHANG BOWEN,11-MAY-00,CHINA,BOWENZH@ABC.COM,351-669-8712,2020
11138,YING ZHAO,28-JUN-00,CHINA,YINGZHAO@ABC.COM,351-888-6622,2020
11139,TOM DICKENS,10-JUL-99,IRELAND,TOMDICK@ABC.COM,866-552-2323,2019
11140,SALLY CREEK,23-AUG-99,IRELAND,SALLYCREEK@ABC.COM,866-411-6655,2019
